type	geo
wind	43.45330,28.55529
wind	43.44930,28.54611
wind	43.45740,28.54814
wind	43.45790,28.55355
wind	43.45877,28.55114
wind	43.44949,28.55037
wind	43.45142,28.54754
wind	43.54697,28.55280
wind	43.40105,28.35021
wind	43.53772,28.45038
wind	43.55153,28.53836
wind	43.55451,28.51501
wind	43.52465,28.47656
wind	43.49278,28.53698
wind	43.64595,28.39734
solar	43.05273,26.58972
solar	41.46445,23.79593
wind	43.42400,28.38867
wind	43.42400,28.38867
wind	43.44332,28.01264
wind	43.58763,28.44740
wind	43.57372,28.45426
wind	43.58785,28.45064
wind	43.39326,28.43858
wind	43.48800,28.41156
solar	43.26003,26.55461
hydro	43.08045,25.52840
hydro	43.07265,25.56961
wind	43.7016762,28.0396345
solar	42.61463,26.26801
wind	43.3877799,27.8614071
wind	43.4880688,28.4075021
wind	43.46020,28.42643
wind	43.44664,28.29080
wind	43.44403,28.29550
wind	43.46020,28.31657
wind	43.42211,28.30034
wind	43.45329,28.34558
wind	43.44687,28.35700
wind	43.41975,28.25652
solar	41.51030,23.29280
wind	42.75525,27.22899
hydro	42.83254,24.23429
solar	43.66459,22.83579
hydro	41.84522,24.42039
solar	42.34409,27.15996
solar	42.59767,26.27504
solar	42.39628,26.67585
solar	42.63083,25.15654
solar	42.39780,26.67536
hydro	41.7211388,24.5112007
hydro	41.4951807,24.6324624
solar	42.43460,26.79702
wind	42.88259,24.55892
solar	43.77258,22.66573
solar	43.77172,22.65861
solar	43.77174,22.65874
hydro	42.12165,23.13034
solar	41.94136,26.31534
solar	43.43942,28.33748
wind	43.48291,28.32700
wind	43.48763,28.41281
wind	43.42289,28.37094
wind	43.46086,28.42880
wind	43.53308,28.35103
wind	43.42300,28.37120
wind	43.56845,28.06753
wind	43.49707,28.29288
wind	43.49832,28.29906
wind	43.50149,28.30292
wind	43.47643,28.34725
wind	43.47643,28.34725
wind	43.51332,28.32575
wind	42.65258,27.18582
wind	42.47859,26.59635
wind	43.61478,28.39167
wind	43.46572,28.28837
wind	43.46840,28.28704
wind	43.44815,28.00217
wind	43.44749,28.00058
wind	43.44681,27.99857
wind	43.53115,28.34893
wind	43.53339,28.35099
solar	41.53121,24.91551
hydro	41.52706,24.91259
wind	43.46090,28.42871
wind	43.46014,28.42639
solar	42.50899,24.18870
solar	42.70002,24.25897
solar	42.51412,24.17693
solar	42.5007907,24.1859625
solar	42.14351,23.07506
hydro	43.28433,23.34271
hydro	42.02396,26.44960
solar	41.86877,26.13289
solar	42.61021,25.54183
hydro	41.63507,23.19527
solar	43.55038,22.86995
solar	43.55042,22.87004
solar	43.55031,22.87048
solar	43.55036,22.87001
solar	43.69408,22.78132
solar	41.55265,23.34524
solar	41.54814,23.33654
solar	41.54847,23.33713
solar	41.45937,23.35752
solar	43.68281,23.42053
solar	43.73932,23.37993
solar	42.56158,26.78288
solar	41.94719,25.39885
solar	41.78738,25.60306
hydro	41.98375,24.87602
hydro	41.95309,24.86004
hydro	43.02898,27.41644
solar	43.12476,24.43037
hydro	42.86273,22.67816
solar	43.08764,23.76561
hydro	41.93126,23.44413
solar	44.07796,27.25021
solar	43.80678,23.27453
solar	42.24935,25.75229
solar	42.24961,25.67298
hydro	42.31083,23.04399
hydro	42.34836,24.12292
solar	42.83607,27.73000
solar	42.17956,24.29540
solar	43.61321,27.11013
solar	43.07691,27.12009
solar	43.1894315,25.9962517
hydro	42.67637,25.19439
solar	43.68376,26.26831
hydro	42.04597,24.64645
solar	42.7412596,22.9080799
wind	42.72910,26.18488
hydro	42.62890,25.33447
hydro	42.36260,25.68054
hydro	43.20067,23.16261
hydro	41.52708,23.24981
wind	42.07172,26.10282
hydro	41.54147,23.25531
hydro	41.61723,23.31702
solar	42.51968,23.71330
wind	43.6728327,23.9910856
wind	43.7087037,24.427092
solar	42.64279,27.19459
wind	43.7538009,28.1079003
wind	43.7538009,28.1079003
wind	43.7538009,28.1079003
wind	43.7538009,28.1079003
wind	42.72835,26.18248
solar	41.72687,24.68507
solar	42.65416,23.40637
hydro	42.26104,23.60824
solar	42.06458,25.03990
solar	42.37211,24.80017
hydro	42.83368,24.91012
solar	43.00991,23.81458
hydro	41.75127,23.21428
hydro	43.51469,22.66754
hydro	42.83242,24.22245
solar	43.43846,24.99389
solar	42.25834,26.98195
solar	42.24808,25.67024
wind	41.99930,26.56888
wind	41.99541,26.57318
hydro	42.83569,24.94308
hydro	42.01665,23.67279
hydro	43.50598,22.78083
