code,prebr_4,prebr_9,prebr_14,prebr_19,prebr_24,prebr_29,prebr_34,prebr_39,prebr_44,prebr_49,prebr_54,prebr_59,prebr_64,prebr_69,prebr_74,prebr_79,prebr_84,prebr_85p
BGS01,1662,1510,1451,1745,1880,2082,2111,2177,2044,1997,2055,1871,1817,1351,1177,890,561,306
BGS04,10972,9298,9221,10170,13353,15434,18040,18523,15397,14433,15427,15804,15296,10057,8313,6700,4426,2038
BGS06,913,736,682,743,936,872,899,862,871,907,1023,1013,1072,873,854,783,607,288
BGS08,539,542,484,553,602,610,629,620,601,633,653,772,815,723,663,489,325,140
BGS09,1318,1233,1330,1373,1547,1481,1574,1703,1737,1680,1775,1664,1825,1331,1394,1290,852,370
BGS12,185,148,151,164,179,158,163,214,196,214,250,267,307,309,337,285,172,94
BGS13,480,455,426,488,573,651,643,655,645,655,743,650,653,457,411,368,245,93
BGS15,1314,1035,1007,1063,1303,1768,1902,1993,1640,1603,1507,1548,1510,1041,854,625,418,217
BGS17,1543,1397,1345,1499,1794,1971,2116,2109,1972,1926,2035,1872,1823,1284,1142,957,597,276
BGS18,1853,1691,1549,2011,2094,2339,2366,2321,2032,1959,1898,1787,1569,1362,973,702,392,203
BGS21,639,560,614,662,740,783,807,904,897,821,877,852,929,783,683,545,370,144
BGS23,624,694,626,709,762,726,752,777,783,786,793,773,779,738,748,733,491,265
BGS27,311,270,280,285,387,381,413,434,449,389,475,455,444,324,293,248,153,73
BLG01,596,489,540,749,802,907,914,968,942,954,940,1014,989,692,593,528,300,208
BLG02,684,577,552,569,730,801,703,682,675,709,728,600,542,456,341,284,202,92
BLG03,3547,3001,2927,4653,8364,6048,5808,5739,5409,5473,5926,5646,4832,3230,2625,2252,1243,718
BLG11,1677,1516,1695,1888,2011,2297,2259,2206,2377,2497,2570,2076,1753,1293,1168,984,604,365
BLG13,1088,872,899,1064,1235,1230,1033,988,1155,1114,1069,792,578,550,517,426,241,130
BLG28,183,217,224,248,299,278,329,324,408,398,413,403,422,419,365,293,138,80
BLG33,2495,2560,2526,3114,3383,3416,3787,4101,4285,3950,3760,3699,3475,3115,2643,2076,1025,596
BLG37,988,930,897,1022,1207,1361,1405,1523,1475,1480,1508,1640,1565,1110,964,785,471,267
BLG40,1870,1712,1789,2142,2458,2617,2800,2796,3069,3200,3143,2876,2725,2297,2069,1623,795,489
